world,world_title,entry_role,english_gloss,saulteau_source_form,source_category,firstvoices_entry_url,related_image_available,source_acknowledgement
6,"Home, Camp and Craft",object,braids,apihkēwina,Making Cultural Objects,https://api.firstvoices.com/api/1.0/sites/cree-saulteau/dictionary/743bf1be-6e33-49a0-9ab6-48a6f11373c5,yes,Source: Amy Ann Gauthier
3,Animal Trail,living being,Pronghorn,apiscacihkos,Animals,https://api.firstvoices.com/api/1.0/sites/cree-saulteau/dictionary/025fd9d1-e54a-4239-b75d-348de1c7d8e7,yes,Source: Amy Ann Gauthier
3,Animal Trail,living being,Deer,Āpisimōsak,Animals,https://api.firstvoices.com/api/1.0/sites/cree-saulteau/dictionary/098203b0-4997-4f37-ba95-a8e120be6c8d,yes,Source: Amy Ann Gauthier
6,"Home, Camp and Craft",object,Teepee Poles,aposōyahtikwa,Spiritual Beliefs,https://api.firstvoices.com/api/1.0/sites/cree-saulteau/dictionary/ec27a7ec-7d03-4bb7-a116-5f479f2a653b,yes,Source: Amy Ann Gauthier
4,Wetlands and Sky,land/season,A Paddle,apoy,Seasons,https://api.firstvoices.com/api/1.0/sites/cree-saulteau/dictionary/2bcdc68a-c782-4d20-a15b-0c7dd1767b28,yes,Source: Amy Ann Gauhtier
1,Water and Turtle Island,object,Shovels or (paddles for rowing),apoyak,Tools/Implements,https://api.firstvoices.com/api/1.0/sites/cree-saulteau/dictionary/a32af7db-aec0-4c4d-bd06-e379056a2740,yes,Source: Amy Ann Gauthier
6,"Home, Camp and Craft",object,"the front upper part of a moccosin, s vamp or tongue",asēsina,Making Cultural Objects,https://api.firstvoices.com/api/1.0/sites/cree-saulteau/dictionary/c3248b64-1cd6-41c3-afaa-cfeb74ace701,yes,Source: Amy Ann
6,"Home, Camp and Craft",object,A sock,Asikan,Clothing,https://api.firstvoices.com/api/1.0/sites/cree-saulteau/dictionary/bcfbf241-1bfa-49fe-8b0f-ace8ed342d95,yes,Source: Judy Cameron
6,"Home, Camp and Craft",object,More than one sock,Asikanak,Clothing,https://api.firstvoices.com/api/1.0/sites/cree-saulteau/dictionary/d59eb10f-227c-4f5f-9688-0a1cb0b5ce01,yes,Source: Judy Cameron
1,Water and Turtle Island,land/season,Rocks (plural of asinēy-rock),asinēyak,Landscape,https://api.firstvoices.com/api/1.0/sites/cree-saulteau/dictionary/61507db5-401a-4d37-99fd-32707714d1f4,yes,Source: Amy Ann
1,Water and Turtle Island,land/season,"Pebbles, Rocks",asiniysisak,Landscape,https://api.firstvoices.com/api/1.0/sites/cree-saulteau/dictionary/67011ba6-211a-40d6-b35a-ecd3a62f8a90,yes,Source: Amy Ann
1,Water and Turtle Island,land/season,Mountains,asiniywaciya,Landscape,https://api.firstvoices.com/api/1.0/sites/cree-saulteau/dictionary/222657fa-743b-4735-a3f6-4a87ae8ed792,yes,Source: Amy Ann Gauthier
2,Forest and Meadow,land/season,A green tree,askāhtik,Trees,https://api.firstvoices.com/api/1.0/sites/cree-saulteau/dictionary/b34a9974-e531-4486-859d-78c4dd93a2b8,yes,Source: Amy Ann Gauthier
1,Water and Turtle Island,land/season,"Open water in spring break, during spring break.",askāwewan,Landscape,https://api.firstvoices.com/api/1.0/sites/cree-saulteau/dictionary/95f85b46-fcdb-4bce-987b-d2db26bb90fa,yes,Source: Amy Ann Gauthier
6,"Home, Camp and Craft",object,"A pail, A bucket",askihk,Tools/Implements,https://api.firstvoices.com/api/1.0/sites/cree-saulteau/dictionary/10794fce-66f1-4461-b375-256526eddfe0,yes,Source: Amy Ann Gauthier
